start	type	end
5156	1	5336
5159	1	5335
5159	1	5336
163688	1	4638
163688	1	85366
163688	1	91807
51806	1	4638
51806	1	85366
51806	1	91807
801	1	4638
801	1	85366
801	1	91807
805	1	4638
805	1	85366
805	1	91807
808	1	4638
808	1	85366
808	1	91807
810	1	4638
810	1	85366
810	1	91807
10800	1	2767
10800	1	2769
10800	1	2776
10800	1	9630
1128	1	2767
1128	1	2769
1128	1	2776
1128	1	9630
1129	1	2767
1129	1	2769
1129	1	2776
1129	1	9630
1131	1	2767
1131	1	2769
1131	1	2776
1131	1	9630
146	1	2767
146	1	2769
146	1	2776
146	1	9630
147	1	2767
147	1	2769
147	1	2776
147	1	9630
148	1	2767
148	1	2769
148	1	2776
148	1	9630
185	1	2767
185	1	2769
185	1	2776
185	1	9630
1909	1	2767
1909	1	2769
1909	1	2776
1909	1	9630
1910	1	2767
1910	1	2769
1910	1	2776
1910	1	9630
2149	1	2767
2149	1	2769
2149	1	2776
2149	1	9630
2911	1	2767
2911	1	2769
2911	1	2776
2911	1	9630
2915	1	2767
2915	1	2769
2915	1	2776
2915	1	9630
2925	1	2767
2925	1	2769
2925	1	2776
2925	1	9630
3269	1	2767
3269	1	2769
3269	1	2776
3269	1	9630
3356	1	2767
3356	1	2769
3356	1	2776
3356	1	9630
3357	1	2767
3357	1	2769
3357	1	2776
3357	1	9630
3358	1	2767
3358	1	2769
3358	1	2776
3358	1	9630
3973	1	2767
3973	1	2769
3973	1	2776
3973	1	9630
4923	1	2767
4923	1	2769
4923	1	2776
4923	1	9630
5021	1	2767
5021	1	2769
5021	1	2776
5021	1	9630
552	1	2767
552	1	2769
552	1	2776
552	1	9630
553	1	2767
553	1	2769
553	1	2776
553	1	9630
56413	1	2767
56413	1	2769
56413	1	2776
56413	1	9630
57105	1	2767
57105	1	2769
57105	1	2776
57105	1	9630
5724	1	2767
5724	1	2769
5724	1	2776
5724	1	9630
5731	1	2767
5731	1	2769
5731	1	2776
5731	1	9630
5733	1	2767
5733	1	2769
5733	1	2776
5733	1	9630
5737	1	2767
5737	1	2769
5737	1	2776
5737	1	9630
623	1	2767
623	1	2769
623	1	2776
623	1	9630
624	1	2767
624	1	2769
624	1	2776
624	1	9630
6865	1	2767
6865	1	2769
6865	1	2776
6865	1	9630
6869	1	2767
6869	1	2769
6869	1	2776
6869	1	9630
6870	1	2767
6870	1	2769
6870	1	2776
6870	1	9630
6915	1	2767
6915	1	2769
6915	1	2776
6915	1	9630
7201	1	2767
7201	1	2769
7201	1	2776
7201	1	9630
886	1	2767
886	1	2769
886	1	2776
886	1	9630
887	1	2767
887	1	2769
887	1	2776
887	1	9630
2767	1	23236
2767	1	5330
2767	1	5331
2767	1	5332
2769	1	23236
2769	1	5330
2769	1	5331
2769	1	5332
2776	1	23236
2776	1	5330
2776	1	5331
2776	1	5332
9630	1	23236
9630	1	5330
9630	1	5331
9630	1	5332
163688	1	5136
163688	1	5137
163688	1	5153
51806	1	5136
51806	1	5137
51806	1	5153
801	1	5136
801	1	5137
801	1	5153
805	1	5136
805	1	5137
805	1	5153
808	1	5136
808	1	5137
808	1	5153
810	1	5136
810	1	5137
810	1	5153
163688	1	107
163688	1	109
163688	1	114
51806	1	107
51806	1	109
51806	1	114
801	1	107
801	1	109
801	1	114
805	1	107
805	1	109
805	1	114
808	1	107
808	1	109
808	1	114
810	1	107
810	1	109
810	1	114
2919	1	3579
2920	1	3579
2921	1	3579
6374	1	3579
5473	1	3579
728045	1	3579
6372	1	3579
3576	1	3579
6372	1	3577
3576	1	3577
4283	1	2833
3627	1	2833
6373	1	2833
6387	1	7852
10563	1	643
58191	1	10663
6375	1	2829
6846	1	2829
6376	1	1524
6346	1	1237
6364	1	1235
6370	1	10803
6361	1	1233
6367	1	1233
6363	1	1236
6366	1	1236
6347	1	1231
6347	1	729230
6351	1	1234
6348	1	1234
6357	1	1231
6357	1	729230
6357	1	1232
6354	1	1231
6354	1	729230
6354	1	1230
6352	1	1234
6352	1	1230
6352	1	1232
6358	1	1230
6360	1	1230
6368	1	1230
6359	1	1230
6359	1	1232
6355	1	1232
6356	1	1232
6369	1	1232
10344	1	1232
56477	1	1232
56477	1	2826
10850	1	2826
3569	1	3572
3569	1	3570
3589	1	3572
3589	1	3590
5008	1	3572
5008	1	3977
5008	1	9180
3976	1	3977
3976	1	3572
1270	1	3977
1270	1	3572
1270	1	1271
23529	1	3977
23529	1	3572
23529	1	1271
1489	1	3977
1489	1	3572
1440	1	1441
3952	1	3953
3565	1	3597
3565	1	3566
3596	1	3597
3596	1	3566
3592	1	3595
3592	1	3594
3593	1	3595
3593	1	3594
51561	1	3594
51561	1	149233
1437	1	1439
1437	1	1438
3562	1	1439
3562	1	3563
3567	1	1439
3567	1	3568
3558	1	3561
3558	1	3560
3558	1	3559
3565	1	3561
3574	1	3561
3574	1	3575
3578	1	3561
3578	1	3581
3600	1	3561
3600	1	3560
3600	1	3601
59067	1	3561
59067	1	50615
85480	1	64109
85480	1	3575
2056	1	2057
2688	1	2690
2689	1	2690
5617	1	5618
7173	1	4352
56034	1	5156
80301	1	5159
7423	1	2321
7422	1	2321
7422	1	3791
2277	1	3791
7424	1	3791
2277	1	2324
7424	1	2324
3082	1	4233
1435	1	1436
4254	1	3815
2323	1	2322
3439	1	3455
3439	1	3454
3440	1	3455
3440	1	3454
3441	1	3455
3441	1	3454
3442	1	3455
3442	1	3454
3443	1	3455
3443	1	3454
3444	1	3455
3444	1	3454
3445	1	3455
3445	1	3454
3446	1	3455
3446	1	3454
3447	1	3455
3447	1	3454
3448	1	3455
3448	1	3454
3449	1	3455
3449	1	3454
3451	1	3455
3451	1	3454
3452	1	3455
3452	1	3454
3456	1	3455
3456	1	3454
3467	1	3455
3467	1	3454
56832	1	3455
56832	1	3454
338376	1	3455
338376	1	3454
3458	1	3460
3458	1	3459
3586	1	3588
3586	1	3587
29949	1	53832
50604	1	53832
50604	1	58985
11009	1	53832
11009	1	58985
50616	1	3588
50616	1	58985
50616	1	116379
282616	1	3588
282616	1	163702
282617	1	3588
282617	1	163702
282618	1	3588
282618	1	163702
8743	1	8797
8743	1	8795
8743	1	8794
8743	1	8793
8743	1	4982
8600	1	4982
8600	1	8792
8742	1	51330
7124	1	7133
4049	1	7133
4049	1	7132
4049	1	4055
4049	1	8764
4050	1	4055
8740	1	4055
8740	1	8764
8740	1	8771
356	1	8771
959	1	958
970	1	939
944	1	943
8744	1	3604
7292	1	7293
8995	1	8784
8741	1	608
8741	1	23495
10673	1	608
10673	1	23495
10673	1	115650
1896	1	10913
1896	1	60401
3624	1	90
3624	1	94
3624	1	92
3624	1	93
3624	1	91
3625	1	90
3625	1	94
3625	1	92
3625	1	93
3625	1	91
3626	1	90
3626	1	94
3626	1	92
3626	1	93
3626	1	91
83729	1	90
83729	1	94
83729	1	92
83729	1	93
83729	1	91
268	1	90
268	1	94
268	1	269
650	1	90
650	1	94
650	1	659
650	1	658
650	1	657
655	1	658
655	1	92
655	1	93
8200	1	657
8200	1	92
8200	1	93
3605	1	23765
27190	1	55540
64806	1	55540
3552	1	3556
3553	1	3556
3606	1	8807
3606	1	8809
3706	1	163688
3706	1	51806
3706	1	801
3706	1	805
3706	1	808
3706	1	810
3707	1	163688
3707	1	51806
3707	1	801
3707	1	805
3707	1	808
3707	1	810
1511	1	2149
1511	1	2150
1511	1	2151
1511	1	56288
1511	1	9002
2147	1	2149
2147	1	2150
2147	1	2151
2147	1	56288
2147	1	9002
3001	1	2149
3001	1	2150
3001	1	2151
3001	1	56288
3001	1	9002
5340	1	2149
5340	1	2150
5340	1	2151
5340	1	56288
5340	1	9002
5644	1	2149
5644	1	2150
5644	1	2151
5644	1	56288
5644	1	9002
5645	1	2149
5645	1	2150
5645	1	2151
5645	1	56288
5645	1	9002
5646	1	2149
5646	1	2150
5646	1	2151
5646	1	56288
5646	1	9002
1081	1	2492
2488	1	2492
1081	1	3973
3972	1	3973
1081	1	7253
7252	1	7253
1442	1	2690
10912	1	5111
1647	1	5111
4616	1	5111
1387	1	7157
2033	1	7157
5591	1	7157
731751	1	7157
699	1	701
699	1	10459
699	1	4085
699	1	8379
9184	1	701
9184	1	10459
9184	1	4085
9184	1	8379
100131844	1	100131844
100131844	1	10393
100131844	1	246184
100131844	1	29882
100131844	1	29945
100131844	1	51433
100131844	1	51434
100131844	1	51529
100131844	1	64682
100131844	1	650621
100131844	1	729948
100131844	1	730314
100131844	1	8697
100131844	1	8881
100131844	1	996
100131844	1	51343
10393	1	100131844
10393	1	10393
10393	1	246184
10393	1	29882
10393	1	29945
10393	1	51433
10393	1	51434
10393	1	51529
10393	1	64682
10393	1	650621
10393	1	729948
10393	1	730314
10393	1	8697
10393	1	8881
10393	1	996
10393	1	51343
246184	1	100131844
246184	1	10393
246184	1	246184
246184	1	29882
246184	1	29945
246184	1	51433
246184	1	51434
246184	1	51529
246184	1	64682
246184	1	650621
246184	1	729948
246184	1	730314
246184	1	8697
246184	1	8881
246184	1	996
246184	1	51343
29882	1	100131844
29882	1	10393
29882	1	246184
29882	1	29882
29882	1	29945
29882	1	51433
29882	1	51434
29882	1	51529
29882	1	64682
29882	1	650621
29882	1	729948
29882	1	730314
29882	1	8697
29882	1	8881
29882	1	996
29882	1	51343
29945	1	100131844
29945	1	10393
29945	1	246184
29945	1	29882
29945	1	29945
29945	1	51433
29945	1	51434
29945	1	51529
29945	1	64682
29945	1	650621
29945	1	729948
29945	1	730314
29945	1	8697
29945	1	8881
29945	1	996
29945	1	51343
51433	1	100131844
51433	1	10393
51433	1	246184
51433	1	29882
51433	1	29945
51433	1	51433
51433	1	51434
51433	1	51529
51433	1	64682
51433	1	650621
51433	1	729948
51433	1	730314
51433	1	8697
51433	1	8881
51433	1	996
51433	1	51343
51434	1	100131844
51434	1	10393
51434	1	246184
51434	1	29882
51434	1	29945
51434	1	51433
51434	1	51434
51434	1	51529
51434	1	64682
51434	1	650621
51434	1	729948
51434	1	730314
51434	1	8697
51434	1	8881
51434	1	996
51434	1	51343
51529	1	100131844
51529	1	10393
51529	1	246184
51529	1	29882
51529	1	29945
51529	1	51433
51529	1	51434
51529	1	51529
51529	1	64682
51529	1	650621
51529	1	729948
51529	1	730314
51529	1	8697
51529	1	8881
51529	1	996
51529	1	51343
64682	1	100131844
64682	1	10393
64682	1	246184
64682	1	29882
64682	1	29945
64682	1	51433
64682	1	51434
64682	1	51529
64682	1	64682
64682	1	650621
64682	1	729948
64682	1	730314
64682	1	8697
64682	1	8881
64682	1	996
64682	1	51343
650621	1	100131844
650621	1	10393
650621	1	246184
650621	1	29882
650621	1	29945
650621	1	51433
650621	1	51434
650621	1	51529
650621	1	64682
650621	1	650621
650621	1	729948
650621	1	730314
650621	1	8697
650621	1	8881
650621	1	996
650621	1	51343
729948	1	100131844
729948	1	10393
729948	1	246184
729948	1	29882
729948	1	29945
729948	1	51433
729948	1	51434
729948	1	51529
729948	1	64682
729948	1	650621
